Interpro ID	Interpro Short Description	Interpro Description
IPR009428	ICAT	Beta-catenin-interacting ICAT
IPR009535	PLC-beta_CS	Phosphatidylinositol-4, 5-bisphosphate phosphodiesterase beta, conserved site
IPR009728	BAALC	BAALC
IPR010294	ADAM_spacer1	ADAM-TS Spacer 1
IPR010449	Numb_domain	NUMB domain
IPR010504	AH_dom	Arfaptin homology (AH) domain
IPR010526	Na_trans_assoc	Sodium ion transport-associated
IPR010548	BNIP3	BNIP3
IPR010560	Neogenin_C	Neogenin, C-terminal
IPR010569	Myotubularin-like_Pase_dom	Myotubularin-like phosphatase domain
IPR010599	CNKSR2	Connector enhancer of kinase suppressor of ras 2
IPR010606	Mib_Herc2	Mib-herc2
IPR010790	DUF1388	Protein of unknown function DUF1388
IPR010911	Znf_FYVE-typ	Zinc finger, FYVE-type
IPR010933	NADH_DH_su2_C	NADH dehydrogenase subunit 2, C-terminal
IPR010979	Ribosomal_S13-like_H2TH	Ribosomal protein S13-like, H2TH
IPR010989	t-SNARE	t-SNARE
IPR011009	Kinase-like_dom	Protein kinase-like domain
IPR011011	Znf_FYVE_PHD	Zinc finger, FYVE/PHD-type
IPR011021	Arrestin-like_N	Arrestin-like, N-terminal
IPR011022	Arrestin_C-like	Arrestin C-terminal-like domain
IPR011029	DEATH-like_dom	Death-like domain
IPR011042	6-blade_b-propeller_TolB-like	Six-bladed beta-propeller, TolB-like
IPR011043	Gal_Oxase/kelch_b-propeller	Galactose oxidase/kelch, beta-propeller
IPR011059	Metal-dep_hydrolase_composite	Metal-dependent hydrolase, composite domain
IPR011108	RMMBL	RNA-metabolising metallo-beta-lactamase
IPR011332	Ribosomal_zn-bd	Zinc-binding ribosomal protein
IPR011333	BTB/POZ_fold	BTB/POZ fold
IPR011417	ANTH_dom	AP180 N-terminal homology (ANTH) domain
IPR011500	GPCR_3_9-Cys_dom	GPCR, family 3, nine cysteines domain
IPR011600	Pept_C14_caspase	Peptidase C14, caspase domain
IPR011641	Tyr-kin_ephrin_A/B_rcpt-like	Tyrosine-protein kinase ephrin type A/B receptor-like
IPR011701	MFS	Major facilitator superfamily
IPR011705	BACK	BTB/Kelch-associated
IPR011767	GLR_AS	Glutaredoxin active site
IPR011907	RNase_III	Ribonuclease III
IPR011989	ARM-like	Armadillo-like helical
IPR011990	TPR-like_helical	Tetratricopeptide-like helical
IPR011992	EF-hand-dom_pair	EF-hand domain pair
IPR011993	PH_like_dom	Pleckstrin homology-like domain
IPR012144	NOS_euk	Nitric-oxide synthase, eukaryote
IPR012233	PKC_zeta	Protein kinase C, zeta/iota
IPR012340	NA-bd_OB-fold	Nucleic acid-binding, OB-fold
IPR012345	STAT_TF_DNA-bd_sub	STAT transcription factor, DNA-binding, subdomain
IPR012478	GSG-1	GSG1-like
IPR012604	RBM1CTR	RBM1CTR
IPR012606	Ribosomal_S13/S15_N	Ribosomal protein S13/S15, N-terminal
IPR012674	Calycin	Calycin
IPR012677	Nucleotide-bd_a/b_plait	Nucleotide-binding, alpha-beta plait
IPR012849	Abl-interactor_HHR_dom	Abl-interactor, homeo-domain homologous domain
IPR012956	CARG-binding_factor_N	CARG-binding factor, N-terminal
IPR012987	ROK_N	ROK, N-terminal
IPR012988	Ribosomal_L30_N	Ribosomal protein L30, N-terminal
IPR012996	Znf_CHHC	Zinc finger, CHHC-type
IPR013000	Ribosomal_L4/L1e_euk/arc_CS	Ribosomal protein L4/L1e, eukaryotic/archaeal, conserved site
IPR013083	Znf_RING/FYVE/PHD	Zinc finger, RING/FYVE/PHD-type
IPR013087	Znf_C2H2/integrase_DNA-bd	Zinc finger C2H2-type/integrase DNA-binding domain
IPR013088	Znf_NHR/GATA	Zinc finger, NHR/GATA-type
IPR013098	Ig_I-set	Immunoglobulin I-set
IPR013102	PYNP_C	Pyrimidine nucleoside phosphorylase, C-terminal
IPR013106	Ig_V-set	Immunoglobulin V-set domain
IPR013111	EGF_extracell	EGF-like domain, extracellular
IPR013126	Hsp_70_fam	Heat shock protein 70 family
IPR013151	Immunoglobulin	Immunoglobulin
IPR013162	CD80_C2-set	CD80-like, immunoglobulin C2-set
IPR013258	Striatin_N	Striatin, N-terminal
IPR013273	Peptidase_M12B_ADAM-TS	Peptidase M12B, ADAM-TS
IPR013284	Beta-catenin	Beta-catenin
IPR013320	ConA-like_subgrp	Concanavalin A-like lectin/glucanase, subgroup
IPR013517	FG-GAP	FG-GAP repeat
IPR013519	Int_alpha_beta-p	Integrin alpha beta-propellor
IPR013543	Ca/CaM-dep_prot_kinase-assoc	Calcium/calmodulin-dependent protein kinase II, association-domain
IPR013544	DUF1725	Domain of unknown function DUF1725
IPR013588	MAP2_projctn	MAP2/Tau projection
IPR013606	IRSp53/MIM_homology_IMD	IRSp53/MIM homology domain (IMD)
IPR013625	PTB	Tensin phosphotyrosine-binding domain
IPR013649	Integrin_alpha-2	Integrin alpha-2
IPR013662	RIH_assoc-dom	RyR/IP3R Homology associated domain
IPR013724	GIT_SHD	Spa2 homology (SHD) of GIT
IPR013761	SAM/pointed	Sterile alpha motif/pointed domain
IPR013783	Ig-like_fold	Immunoglobulin-like fold
IPR013799	STAT_TF_prot_interaction	STAT transcription factor, protein interaction
IPR013800	STAT_TF_alpha	STAT transcription factor, all-alpha
IPR013801	STAT_TF_DNA-bd	STAT transcription factor, DNA-binding
IPR013809	Epsin-like_N	Epsin-like, N-terminal
IPR013815	ATP_grasp_subdomain_1	ATP-grasp fold, subdomain 1
IPR013912	Adenylate_cyclase-assoc_CAP_C	Adenylate cyclase-associated CAP, C-terminal
IPR013992	Adenylate_cyclase-assoc_CAP_N	Adenylate cyclase-associated CAP, N-terminal
IPR014001	Helicase_ATP-bd	Helicase, superfamily 1/2, ATP-binding domain
IPR014020	Tensin_phosphatase_C2-dom	Tensin phosphatase, C2 domain
IPR014352	FERM/acyl-CoA-bd_prot_3-hlx	FERM/acyl-CoA-binding protein, 3-helical bundle
IPR014375	Protein_kinase_C_a/b/g	Protein kinase C, alpha/beta/gamma types
IPR014710	RmlC-like_jellyroll	RmlC-like jelly roll fold
IPR014712	Clathrin_Pinositid-bd_GAT-like	Clathrin adaptor, phosphoinositide-binding, GAT-like
IPR014720	dsRNA-bd_dom	Double-stranded RNA-binding domain
IPR014722	Rib_L2_dom2	Ribosomal protein L2 domain 2
IPR014726	Ribosomal_L2_dom3	Ribosomal protein L2, domain 3
IPR014752	Arrestin_C	Arrestin, C-terminal
IPR014753	Arrestin_N	Arrestin, N-terminal
IPR014756	Ig_E-set	Immunoglobulin E-set
IPR014775	L27_C	L27, C-terminal
IPR014821	Ins145_P3_rcpt	Inositol 1,4,5-trisphosphate/ryanodine receptor
IPR014837	EF-hand_Ca_insen	EF-hand, Ca insensitive
IPR014847	FERM-adjacent	FERM adjacent (FA)
IPR014868	Cadherin_pro_dom	Cadherin prodomain
IPR014873	VDCC_a1su_IQ	Voltage-dependent calcium channel, alpha-1 subunit, IQ domain
IPR014930	Myotonic_dystrophy_kinase_coil	Myotonic dystrophy protein kinase, coiled coil
IPR014936	Axin_b-cat-bd	Axin beta-catenin binding
IPR015022	MA_Ser/Thr_Kinase_dom	Microtubule-associated serine/threonine-protein kinase, domain
IPR015063	USP8_dimer	USP8 dimerisation domain
IPR015123	Bcr-Abl_oncoprot_oligo	Bcr-Abl oncoprotein oligomerisation
IPR015132	L27_2	L27-2
IPR015143	L27_1	L27-1
IPR015153	EF-hand_dom_typ1	EF-hand domain, type 1
IPR015154	EF-hand_dom_typ2	EF-hand domain, type 2
IPR015359	PLipase_C_EF-hand-like	Phospholipase C, phosphoinositol-specific, EF-hand-like
IPR015404	Vps5_C	Vps5 C-terminal
IPR015425	FH2_Formin	Formin, FH2 domain
IPR015506	Dsh/Dvl-rel	Dishevelled-related protein
IPR015526	Frizzled/SFRP	Frizzled/secreted frizzled-related protein
IPR015621	IL-1_rcpt_fam	Interleukin-1 receptor family
IPR015727	Protein_Kinase_C_mu-related	Protein kinase C mu-related
IPR015894	Guanylate-bd_N	Guanylate-binding protein, N-terminal
IPR015898	G-protein_gamma-like_dom	G-protein gamma-like domain
IPR015915	Kelch-typ_b-propeller	Kelch-type beta propeller
IPR015917	Pept_C14A_p45_core	Peptidase C14A, caspase precursor p45, core
IPR015919	Cadherin-like	Cadherin-like
IPR015925	Ryanodine_recept-rel	Ryanodine receptor-related
IPR015943	WD40/YVTN_repeat-like_dom	WD40/YVTN repeat-like-containing domain
IPR015946	KH_dom-like_a/b	K homology domain-like, alpha/beta
IPR015988	STAT_TF_coiled-coil	STAT transcription factor, coiled coil
IPR016024	ARM-type_fold	Armadillo-type fold
IPR016054	LY6_UPA_recep-like	Ly-6 antigen / uPA receptor -like
IPR016064	ATP-NAD_kinase_PpnK-typ	ATP-NAD kinase-like domain
IPR016082	Ribosomal_L30_ferredoxin-like	Ribosomal protein L30, ferredoxin-like fold domain
IPR016093	MIR_motif	MIR motif
IPR016095	Ribosomal_L1_3-a/b-sand	Ribosomal protein L1, 3-layer alpha/beta-sandwich
IPR016098	CAP/MinC_C	Cyclase-associated protein CAP/septum formation inhibitor MinC, C-terminal
IPR016129	Pept_C14_ICE_p20_AS	Peptidase C14, ICE, catalytic subunit p20, active site
IPR016130	Tyr_Pase_AS	Protein-tyrosine phosphatase, active site
IPR016135	UBQ-conjugating_enzyme/RWD	Ubiquitin-conjugating enzyme/RWD-like
IPR016137	Regulat_G_prot_signal_superfam	Regulator of G protein signalling superfamily
IPR016185	PreATP-grasp_dom	Pre-ATP-grasp domain
IPR016201	Plexin-like_fold	Plexin-like fold
IPR016244	Tyr_kinase_HGF/MSP_rcpt	Tyrosine-protein kinase, HGF/MSP receptor
IPR016245	Tyr_kinase_EGF/ERB/XmrK_rcpt	Tyrosine protein kinase, EGF/ERB/XmrK receptor
IPR016257	Tyr_kinase_ephrin_rcpt	Ephrin receptor type-A /type-B
IPR016280	PLC-beta	Phosphatidylinositol-4, 5-bisphosphate phosphodiesterase beta
IPR016313	DLG1	Disks large 1
IPR016343	Spectrin_bsu	Spectrin, beta subunit
IPR016650	eIF3e	Eukaryotic translation initiation factor 3 subunit E
IPR016698	Numb/numb-like	Numb/numb-like
IPR017096	Kelch-like_gigaxonin	Kelch-like protein, gigaxonin
IPR017241	Toll-like_receptor	Toll-like receptor
IPR017281	Myelin_different_resp_MyD88	Myeloid differentiation primary response protein MyD88
IPR017304	NCK	Cytoplasmic protein NCK
IPR017361	Bifunc_PIno_P3_Pase/Pase_PTEN	Bifunctional phosphatidylinositol trisphosphate phosphatase/dual specificity phosphatase PTEN
IPR017365	Lin-7_homologue	Lin-7 homologue
IPR017400	Elongation_factor_2_kinase	Elongation factor 2 kinase
IPR017421	MAPKKK7	Mitogen-activated protein (MAP) kinase kinase kinase 7
IPR017432	Distrobrevin	Distrobrevin
IPR017433	Dystrophin-related_2	Dystrophin-related protein 2
IPR017438	ATP-NAD_kinase_dom_1	Inorganic polyphosphate/ATP-NAD kinase, domain 1
IPR017441	Protein_kinase_ATP_BS	Protein kinase, ATP binding site
IPR017452	GPCR_Rhodpsn_7TM	GPCR, rhodopsin-like, 7TM
IPR017454	Neuromodulin_C	Neuromodulin (GAP-43), C-terminal
IPR017455	Znf_FYVE-rel	Zinc finger, FYVE-related
IPR017459	Glycosyl_Trfase_fam3_N_dom	Glycosyl transferase family 3, N-terminal domain
IPR017854	Metalthion_dom	Metallothionein domain
IPR017864	Arrestin_CS	Arrestin, conserved site
IPR017872	Pyrmidine_PPase_CS	Pyrimidine-nucleoside phosphorylase, conserved site
IPR017874	CRIC_domain	CRIC domain
IPR017892	Pkinase_C	Protein kinase, C-terminal
IPR017901	C-CAP_CF_C-like	C-CAP/cofactor C-like domain
IPR017907	Znf_RING_CS	Zinc finger, RING-type, conserved site
IPR017927	Fd_Rdtase_FAD-bd	Ferredoxin reductase-type FAD-binding domain
IPR017938	Riboflavin_synthase-like_b-brl	Riboflavin synthase-like beta-barrel
IPR017946	PLC-like_Pdiesterase_TIM-brl	PLC-like phosphodiesterase, TIM beta/alpha-barrel domain
IPR017969	Heavy-metal-associated_CS	Heavy-metal-associated, conserved site
IPR017978	GPCR_3_C	GPCR, family 3, C-terminal
IPR017979	GPCR_3_CS	GPCR, family 3, conserved site
IPR017981	GPCR_2-like	GPCR, family 2-like
IPR017983	GPCR_2_secretin-like_CS	GPCR, family 2, secretin-like, conserved site
IPR017993	Atrophin-1	Atrophin-1
IPR018000	Neurotransmitter_ion_chnl_CS	Neurotransmitter-gated ion-channel, conserved site
IPR018038	Ribosomal_L30_CS	Ribosomal protein L30, conserved site
IPR018039	Intermediate_filament_CS	Intermediate filament protein, conserved site
IPR018064	Metalthion_vert_metal_BS	Metallothionein, vertebrate, metal binding site
IPR018090	Pyrmidine_PPas_bac/euk	Pyrimidine-nucleoside phosphorylase, bacterial/eukaryotic
IPR018097	EGF_Ca-bd_CS	EGF-like calcium-binding, conserved site
IPR018102	Ribosomal_S11_CS	Ribosomal S11, conserved site
IPR018106	CAP_CS_N	CAP, conserved site, N-terminal
IPR018159	Spectrin/alpha-actinin	Spectrin/alpha-actinin
IPR018181	Heat_shock_70_CS	Heat shock protein 70, conserved site
IPR018184	Integrin_alpha_C_CS	Integrin alpha chain, C-terminal cytoplasmic region, conserved site
IPR018200	Pept_C19ubi-hydrolase_C_CS	Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2, conserved site
IPR018243	Neuromodulin_palmitoyl/P_site	Neuromodulin, palmitoylation/phosphorylation site
IPR018247	EF_Hand_1_Ca_BS	EF-Hand 1, calcium-binding site
IPR018250	Neuregulin	Neuregulin
IPR018253	DnaJ_domain_CS	DnaJ domain, conserved site
IPR018269	Ribosomal_S13_CS	Ribosomal protein S13, conserved site
IPR018277	Ribosomal_S19e_CS	Ribosomal protein S19e, conserved site
IPR018280	Ribosomal_S3_CS	Ribosomal protein S3, conserved site
IPR018297	A/G_cyclase_CS	Adenylyl cyclase class-3/4/guanylyl cyclase, conserved site
IPR018303	ATPase_P-typ_P_site	P-type ATPase, phosphorylation site
IPR018358	Disintegrin_CS	Disintegrin, conserved site
IPR018490	cNMP-bd-like	Cyclic nucleotide-binding-like
IPR018515	Tuberin-type_domain	Tuberin-type domain
IPR018882	CaM-bd_C0_NMDA_rcpt_NR1	Calmodulin-binding domain C0, NMDA receptor, NR1 subunit
IPR018884	NMDAR2_C	Glutamate [NMDA] receptor, epsilon subunit, C-terminal
IPR018947	Neuromodulin_gap-junction_N	Neuromodulin gap junction N-terminal
IPR018957	Znf_C3HC4_RING-type	Zinc finger, C3HC4 RING-type
IPR018979	FERM_N	FERM, N-terminal
IPR018980	FERM_PH-like_C	FERM, C-terminal PH-like domain
IPR018999	RNA-helicase_UPF1_UPF2-interct	RNA helicase UPF1, UPF2-interacting domain
IPR019003	Uncharacterised_FAM123	Uncharacterised protein family FAM123
IPR019010	eIF3e_N	Eukaryotic translation initiation factor 3 subunit E, N-terminal
IPR019018	Rab-bd_FIP-RBD	Rab-binding domain FIP-RBD
IPR019323	CAZ_cplx_RIM-bd_prot	CAZ complex, RIM-binding protein
IPR019367	PDZ-binding_CRIPT	PDZ-binding protein, CRIPT
IPR019378	GDP-Fuc_O-FucTrfase	GDP-fucose protein O-fucosyltransferase
IPR019528	PACT_domain	Pericentrin/AKAP-450 centrosomal targeting domain
IPR019577	SPARC/Testican_Ca-bd-dom	SPARC/Testican, calcium-binding domain
IPR019583	PDZ_assoc	PDZ-associated domain of NMDA receptors
IPR019588	Metabotropic_Glu_rcpt_Homer-bd	Metabotropic glutamate receptor, Homer-binding domain
IPR019590	MAGUK_PEST_N	Membrane-associated guanylate kinase (MAGUK), PEST domain, N-terminal
IPR019594	Glu_rcpt_Glu/Gly-bd	Glutamate receptor, L-glutamate/glycine-binding
IPR019734	TPR_repeat	Tetratricopeptide repeat
IPR019735	Synapsin_CS	Synapsin, conserved site
IPR019736	Synapsin_P_site	Synapsin, phosphorylation site
IPR019747	FERM_CS	FERM conserved site
IPR019748	FERM_central	FERM central domain
IPR019749	Band_41_domain	Band 4.1 domain
IPR019762	Dynamin_GTPase_CS	Dynamin, GTPase region, conserved site
IPR019763	Dynein_light_1/2_CS	Dynein light chain, type 1/2, conserved site
IPR019765	Ephrin_CS	Ephrin, conserved site
IPR019771	F-actin_capping_bsu_CS	F-actin capping protein, beta subunit, conserved site
IPR019775	WD40_repeat_CS	WD40 repeat, conserved site
IPR019804	Ras_G-nucl-exch_fac_CS	Ras guanine-nucleotide exchange factor, conserved site
IPR019819	Carboxylesterase_B_CS	Carboxylesterase type B, conserved site
IPR019972	Ribosomal_L14_CS	Ribosomal protein L14 conserved site
IPR020067	Frizzled_dom	Frizzled domain
IPR020422	Dual-sp_phosphatase_subgr_cat	Dual specificity phosphatase, subgroup, catalytic domain
IPR020454	DAG/PE-bd	Diacylglycerol/phorbol-ester binding
IPR020455	Tyr_kin_neurotrophic_rcpt_2	Tyrosine-protein kinase, neurotrophic receptor, type 2
IPR020472	G-protein_beta_WD-40_rep	G-protein beta WD-40 repeat
IPR020590	Guanylate_kinase_CS	Guanylate kinase, conserved site
IPR020635	Tyr_kinase_cat_dom	Tyrosine-protein kinase, catalytic domain
IPR020676	DAPK1	Death-associated protein kinase 1
IPR020777	Tyr_kinase_NGF_rcpt	Tyrosine-protein kinase, neurotrophic receptor
IPR020783	Ribosomal_L11_C	Ribosomal protein L11, C-terminal
IPR020784	Ribosomal_L11_N	Ribosomal protein L11, N-terminal
IPR020785	Ribosomal_L11_CS	Ribosomal protein L11, conserved site
IPR020828	GlycerAld_3-P_DH_NAD(P)-bd	Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain
IPR020829	GlycerAld_3-P_DH_cat	Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain
IPR020830	GlycerAld_3-P_DH_AS	Glyceraldehyde 3-phosphate dehydrogenase, active site
IPR020831	GlycerAld/Erythrose_P_DH	Glyceraldehyde/Erythrose phosphate dehydrogenase family
IPR020846	MFS_dom	Major facilitator superfamily domain
IPR020849	Small_GTPase_Ras	Small GTPase superfamily, Ras type
IPR020850	GTPase_effector_domain_GED	GTPase effector domain, GED
IPR020859	ROC_GTPase	ROC GTPase
IPR020894	Cadherin_CS	Cadherin conserved site
IPR020897	Synapsin_pre-ATP-grasp_dom	Synapsin, pre-ATP-grasp domain
IPR020898	Synapsin_ATP-bd_dom	Synapsin, ATP-binding domain
IPR020902	Actin/actin-like_CS	Actin/actin-like conserved site
IPR021126	Interferon_gamma_pox/mammal	Interferon gamma receptor, poxvirus/mammal
IPR021138	Ribosomal_L18a/L20	60S ribosomal protein L18a/ L20
IPR021187	Band_41_protein	Band 4.1 protein
IPR021645	Shal-type	Shal-type voltage-gated potassium channels
IPR021662	HnRNPA1	Nuclear factor hnRNPA1
IPR021718	CPSF73-100_C	Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term
IPR021818	DUF3401	Protein of unknown function DUF3401
IPR021887	DUF3498	Protein of unknown function DUF3498
IPR022018	GIT1_C	G protein-coupled receptor kinase-interacting protein 1 C term
IPR022034	Frag_X_MRP_fam	Fragile X mental retardation protein family
IPR022141	ATP_Ca_trans_C	Calcium transporting P-type ATPase, C-terminal, plasma membrane
IPR022325	TNFR_16	Tumour necrosis factor receptor 16
IPR022353	Insulin_CS	Insulin, conserved site
IPR022409	PKD/Chitinase_dom	PKD/Chitinase domain
IPR022416	Prion/Doppel_prot_b-ribbon_dom	Prion/Doppel protein, beta-ribbon domain
IPR022666	Rbsml_prot_L2_RNA-bd_dom	Ribosomal Proteins L2, RNA binding domain
IPR022669	Ribosomal_L2_C	Ribosomal protein L2, C-terminal
IPR022671	Ribosomal_L2_CS	Ribosomal protein L2, conserved site
IPR022712	Beta_Casp	Beta-Casp domain
IPR022742	Lysophospholipase_put	Putative lysophospholipase
IPR022772	VHL_tumour_suppress_b/a_dom	von Hippel-Lindau disease tumour suppressor, beta/alpha domain
IPR022782	AIP3_C	Actin interacting protein 3, C-terminal
IPR022812	Dynamin_SF	Dynamin superfamily
IPR022991	Ribosomal_L30e_CS	Ribosomal protein L30e, conserved site
IPR023029	Ribosomal_S15P	Ribosomal protein S15P
IPR023088	PDEase	3'5'-cyclic nucleotide phosphodiesterase
IPR023142	MAST_pre-PK_dom	Microtubule-associated serine/threonine-protein kinase, pre-PK domain
IPR023152	RasGAP_CS	Ras GTPase-activating protein, conserved site
IPR023173	NADPH_Cyt_P450_Rdtase_dom3	NADPH-cytochrome p450 reductase, FAD-binding, alpha-helical domain-3
IPR023174	PDEase_CS	3'5'-cyclic nucleotide phosphodiesterase, conserved site
IPR023210	NADP_OxRdtase_dom	NADP-dependent oxidoreductase domain
IPR023214	HAD-like_dom	HAD-like domain
IPR023263	Activity-reg_cytoskelet-assoc	Activity-regulated cytoskeleton-associated protein
IPR023298	ATPase_P-typ_TM_dom	P-type ATPase,  transmembrane domain
IPR023299	ATPase_P-typ_cyto_domN	P-type ATPase, cytoplasmic domain N
IPR023313	UBQ-conjugating_AS	Ubiquitin-conjugating enzyme, active site
IPR023315	SynGAP_C2_N	SynGAP C2 domain, N-terminal
IPR023346	Lysozyme-like_dom	Lysozyme-like domain
IPR023394	Sec7_alpha_orthog	Sec7 domain, alpha orthogonal bundle
IPR023407	Ribosomal_S27e_Zn-bd_dom	Ribosomal protein S27e, zinc-binding domain
IPR023409	14-3-3_CS	14-3-3 protein, conserved site
IPR023410	14-3-3_domain	14-3-3 domain
IPR023415	LDLR_class-A_CS	Low-density lipoprotein (LDL) receptor class A, conserved site
IPR023573	Ribosomal_L18a/LX	Ribosomal protein L18a/LX
IPR023574	Ribosomal_L4_dom	Ribosomal protein L4 domain
IPR023578	Ras_GEF_dom	Ras guanine nucleotide exchange factor, domain
IPR023587	Metalthion_dom_vert	Metallothionein domain, vertebrate
IPR023610	PInositol-4-P-5-kinase	Phosphatidylinositol-4-phosphate 5-kinase
IPR023614	Porin_dom	Porin domain
IPR023672	Ribosomal_L2_arc	Ribosomal protein L2, archaeal-type
IPR023673	Ribosomal_L1_CS	Ribosomal protein L1, conserved site
IPR023674	Ribosomal_L1-like	Ribosomal protein L1-like
IPR024048	VHL_alpha_dom	von Hippel-Lindau disease tumor suppressor, alpha domain
IPR024053	VHL_beta_dom	von Hippel-Lindau disease tumor suppressor,  beta domain
IPR024066	Regulat_G_prot_signal_dom1	Regulator of G-protein signaling, domain 1
IPR024079	MetalloPept_cat_dom	Metallopeptidase, catalytic domain
IPR024156	Small_GTPase_ARF	Small GTPase superfamily, ARF type
IPR024580	Dishevelled_C-dom	Dishevelled C-terminal
IPR024583	DUF3451	Domain of unknown function DUF3451
IPR024584	Tuberin_N	Tuberin, N-terminal
IPR024587	K_chnl_volt-dep_Kv4_C	Potassium channel, voltage dependent, Kv4, C-terminal
IPR024613	Huntingtin_middle-repeat	Huntingtin, middle-repeat
IPR024666	HnRNP_M_PY-NLS	Heterogeneous nuclear ribonucleoprotein M, PY nuclear localisation signal
IPR024783	TORC_N	Transducer of regulated CREB activity, N-terminal
IPR024784	TORC_M	Transducer of regulated CREB activity, middle domain
IPR024785	TORC_C	Transducer of regulated CREB activity, C-terminal
IPR024786	TORC	Transducer of regulated CREB activity
IPR024931	Importing_su_alpha	Importin subunit alpha
IPR025136	DUF4071	Domain of unknown function DUF4071
IPR025151	ELYS_dom	ELYS-like domain
IPR025451	DUF4211	Domain of unknown function DUF4211
IPR025607	Rbsml_L5e/L18P_C	Ribosomal protein L5 eukaryotic/L18 archaeal, C-terminal
IPR025755	Ribos_L4_C_dom	60S ribosomal protein L4, C-terminal domain
IPR025790	Hist-Lys_N-MTase_Suvar4-20	Histone-lysine N-methyltransferase, Suvar4-20
IPR025860	Prion_N_dom	Major prion protein N-terminal domain
IPR026074	MAP1	Microtubule associated protein 1
IPR026081	DISC1	Disrupted in schizophrenia 1
IPR026115	NABC1	Novel Amplified in Breast Cancer-1
IPR026204	GRIPAP1	GRIP1-associated protein 1
IPR026512	RGS7BP/RGS9BP	RGS7BP/RGS9BP family
IPR026779	Camk2n	Calcium/calmodulin-dependent protein kinase II inhibitor
IPR026823	cEGF	Complement Clr-like EGF domain
IPR026906	LRR_5	Leucine rich repeat 5
IPR026910	Shisa	Shisa family
IPR026914	Calsyntenin	Calsyntenin
IPR026966	Neurofascin/L1/NrCAM_C	Neurofascin/L1/NrCAM, C-terminal domain
IPR026998	Calpastatin	Calpastatin
IPR027231	Semaphorin	Semaphorin
IPR027246	Porin_Euk/Tom40	Eukaryotic porin/Tom40
IPR027256	Cation_transp_P-typ_ATPase_IB	Cation-transporting P-type ATPase, subfamily IB
IPR027267	AH/BAR-dom	Arfaptin homology (AH) domain/BAR domain
IPR027309	P2X_extracellular_dom	P2X purinoreceptor extracellular domain
IPR027324	MAP2/MAP4/Tau	Microtubule associated protein MAP2/MAP4/Tau
IPR027359	Channel_four-helix_dom	Voltage-dependent channel, four helix bundle domain
IPR027397	Catenin_binding_dom	Catenin binding domain
IPR027417	P-loop_NTPase	P-loop containing nucleoside triphosphate hydrolase
IPR027437	30s_Rbsml_prot_S13_C	30s ribosomal protein S13, C-terminal
IPR027469	Cation_efflux_TMD	Cation efflux protein transmembrane domain
IPR027484	PInositol-4-P-5-kinase_N	Phosphatidylinositol-4-phosphate 5-kinase, N-terminal domain
IPR027512	EIF3A	Eukaryotic translation initiation factor 3 subunit A
IPR027681	BAIAP2	Brain-specific angiogenesis inhibitor 1-associated protein 2
IPR027932	DUF4606	Protein of unknown function DUF4606
IPR027936	Eph_TM	Ephrin receptor, transmembrane domain
IPR027997	DUF4589	Protein of unknown function DUF4589
IPR028082	Peripla_BP_I	Periplasmic binding protein-like I
IPR028364	Ribosomal_L1/biogenesis	Ribosomal protein L1/ribosomal biogenesis protein
IPR028417	CAP_CS_C	CAP, conserved site, C-terminal
IPR028426	Huntingtin_fam	Huntingtin family
IPR028435	Plakophilin/d_Catenin	Plakophilin/Delta catenin
IPR028455	ABI3	ABI gene family member 3
IPR028457	ABI	ABI family
IPR028570	TRIO	Triple functional domain protein
IPR028660	SNX1	Sorting nexin-1
IPR028745	AKAP9	A-kinase anchor protein 9
IPR028846	Recoverin	Recoverin family
IPR028877	50S_L18Ae/Ribosomal_L18a/L20	50S ribosomal protein L18Ae/60S ribosomal protein L20 and L18a
IPR028889	USP_dom	Ubiquitin specific protease domain
IPR029006	ADF-H/Gelsolin-like_dom	ADF-H/Gelsolin-like domain
IPR029021	Prot-tyrosine_phosphatase-like	Protein-tyrosine phosphatase-like
IPR029023	Tensin_lipid_phosphatase_dom	Tensin phosphatase, lipid phosphatase domain
IPR029030	Caspase-like_dom	Caspase-like domain
IPR029039	Flavoprotein-like	Flavoprotein-like
IPR029047	HSP70_peptide-bd	Heat shock protein 70kD, peptide-binding domain
IPR029048	HSP70_C	Heat shock protein 70kD, C-terminal domain
IPR029052	Metallo-depent_PP-like	Metallo-dependent phosphatase-like
IPR029058	AB_hydrolase	Alpha/Beta hydrolase fold
IPR029064	L30e-like	50S ribosomal protein L30e-like
IPR029067	CDC48_domain_2-like	CDC48 domain 2-like
IPR029071	Ubiquitin-rel_dom	Ubiquitin-related domain
IPR029337	FAM196	FAM196 family
IPR029477	DAG_kinase_typeI_N	Diacylglycerol kinase type I, N-terminal
IPR029526	PGBD	PiggyBac transposable element-derived protein
IPR029619	FAM81	Protein FAM81
IPR029787	Nucleotide_cyclase	Nucleotide cyclase
IPR030224	Sla2_fam	Sla2 family
IPR030381	G_DYNAMIN_dom	Dynamin-type guanine nucleotide-binding (G) domain
IPR030386	G_GB1_RHD3_dom	GB1/RHD3-type guanine nucleotide-binding (G) domain
