Interpro Short Description	Interpro Description	Interpro ID
eIF3e	Eukaryotic translation initiation factor 3 subunit E	IPR016650
Kelch-like_gigaxonin	Kelch-like protein, gigaxonin	IPR017096
Myelin_different_resp_MyD88	Myeloid differentiation primary response protein MyD88	IPR017281
NCK	Cytoplasmic protein NCK	IPR017304
Bifunc_PIno_P3_Pase/Pase_PTEN	Bifunctional phosphatidylinositol trisphosphate phosphatase/dual specificity phosphatase PTEN	IPR017361
Lin-7_homologue	Lin-7 homologue	IPR017365
Elongation_factor_2_kinase	Elongation factor 2 kinase	IPR017400
Distrobrevin	Distrobrevin	IPR017432
Dystrophin-related_2	Dystrophin-related protein 2	IPR017433
ATP-NAD_kinase_dom_1	Inorganic polyphosphate/ATP-NAD kinase, domain 1	IPR017438
Protein_kinase_ATP_BS	Protein kinase, ATP binding site	IPR017441
GPCR_Rhodpsn_7TM	GPCR, rhodopsin-like, 7TM	IPR017452
Neuromodulin_C	Neuromodulin (GAP-43), C-terminal	IPR017454
Metalthion_dom	Metallothionein domain	IPR017854
Arrestin_CS	Arrestin, conserved site	IPR017864
CRIC_domain	CRIC domain	IPR017874
Pkinase_C	Protein kinase, C-terminal	IPR017892
C-CAP_CF_C-like	C-CAP/cofactor C-like domain	IPR017901
Znf_RING_CS	Zinc finger, RING-type, conserved site	IPR017907
Fd_Rdtase_FAD-bd	Ferredoxin reductase-type FAD-binding domain	IPR017927
Riboflavin_synthase-like_b-brl	Riboflavin synthase-like beta-barrel	IPR017938
PLC-like_Pdiesterase_TIM-brl	PLC-like phosphodiesterase, TIM beta/alpha-barrel domain	IPR017946
Heavy-metal-associated_CS	Heavy-metal-associated, conserved site	IPR017969
GPCR_3_C	GPCR, family 3, C-terminal	IPR017978
GPCR_3_CS	GPCR, family 3, conserved site	IPR017979
GPCR_2-like	GPCR, family 2-like	IPR017981
GPCR_2_secretin-like_CS	GPCR, family 2, secretin-like, conserved site	IPR017983
Neurotransmitter_ion_chnl_CS	Neurotransmitter-gated ion-channel, conserved site	IPR018000
Ribosomal_L30_CS	Ribosomal protein L30, conserved site	IPR018038
Intermediate_filament_CS	Intermediate filament protein, conserved site	IPR018039
Metalthion_vert_metal_BS	Metallothionein, vertebrate, metal binding site	IPR018064
EGF_Ca-bd_CS	EGF-like calcium-binding, conserved site	IPR018097
Ribosomal_S11_CS	Ribosomal S11, conserved site	IPR018102
CAP_CS_N	CAP, conserved site, N-terminal	IPR018106
Spectrin/alpha-actinin	Spectrin/alpha-actinin	IPR018159
Integrin_alpha_C_CS	Integrin alpha chain, C-terminal cytoplasmic region, conserved site	IPR018184
Pept_C19ubi-hydrolase_C_CS	Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2, conserved site	IPR018200
Neuromodulin_palmitoyl/P_site	Neuromodulin, palmitoylation/phosphorylation site	IPR018243
EF_Hand_1_Ca_BS	EF-Hand 1, calcium-binding site	IPR018247
DnaJ_domain_CS	DnaJ domain, conserved site	IPR018253
Ribosomal_S13_CS	Ribosomal protein S13, conserved site	IPR018269
Ribosomal_S19e_CS	Ribosomal protein S19e, conserved site	IPR018277
Ribosomal_S3_CS	Ribosomal protein S3, conserved site	IPR018280
A/G_cyclase_CS	Adenylyl cyclase class-3/4/guanylyl cyclase, conserved site	IPR018297
ATPase_P-typ_P_site	P-type ATPase, phosphorylation site	IPR018303
Disintegrin_CS	Disintegrin, conserved site	IPR018358
cNMP-bd-like	Cyclic nucleotide-binding-like	IPR018490
Tuberin-type_domain	Tuberin-type domain	IPR018515
CaM-bd_C0_NMDA_rcpt_NR1	Calmodulin-binding domain C0, NMDA receptor, NR1 subunit	IPR018882
NMDAR2_C	Glutamate [NMDA] receptor, epsilon subunit, C-terminal	IPR018884
Neuromodulin_gap-junction_N	Neuromodulin gap junction N-terminal	IPR018947
Znf_C3HC4_RING-type	Zinc finger, C3HC4 RING-type	IPR018957
eIF3e_N	Eukaryotic translation initiation factor 3 subunit E, N-terminal	IPR019010
PDZ-binding_CRIPT	PDZ-binding protein, CRIPT	IPR019367
PACT_domain	Pericentrin/AKAP-450 centrosomal targeting domain	IPR019528
SPARC/Testican_Ca-bd-dom	SPARC/Testican, calcium-binding domain	IPR019577
PDZ_assoc	PDZ-associated domain of NMDA receptors	IPR019583
Metabotropic_Glu_rcpt_Homer-bd	Metabotropic glutamate receptor, Homer-binding domain	IPR019588
MAGUK_PEST_N	Membrane-associated guanylate kinase (MAGUK), PEST domain, N-terminal	IPR019590
Glu_rcpt_Glu/Gly-bd	Glutamate receptor, L-glutamate/glycine-binding	IPR019594
TPR_repeat	Tetratricopeptide repeat	IPR019734
Synapsin_CS	Synapsin, conserved site	IPR019735
Synapsin_P_site	Synapsin, phosphorylation site	IPR019736
FERM_central	FERM central domain	IPR019748
Band_41_domain	Band 4.1 domain	IPR019749
Dynamin_GTPase_CS	Dynamin, GTPase region, conserved site	IPR019762
Ephrin_CS	Ephrin, conserved site	IPR019765
F-actin_capping_bsu_CS	F-actin capping protein, beta subunit, conserved site	IPR019771
WD40_repeat_CS	WD40 repeat, conserved site	IPR019775
Ras_G-nucl-exch_fac_CS	Ras guanine-nucleotide exchange factor, conserved site	IPR019804
Carboxylesterase_B_CS	Carboxylesterase type B, conserved site	IPR019819
DAG/PE-bd	Diacylglycerol/phorbol-ester binding	IPR020454
Tyr_kin_neurotrophic_rcpt_2	Tyrosine-protein kinase, neurotrophic receptor, type 2	IPR020455
G-protein_beta_WD-40_rep	G-protein beta WD-40 repeat	IPR020472
Guanylate_kinase_CS	Guanylate kinase, conserved site	IPR020590
Tyr_kinase_cat_dom	Tyrosine-protein kinase, catalytic domain	IPR020635
DAPK1	Death-associated protein kinase 1	IPR020676
Tyr_kinase_NGF_rcpt	Tyrosine-protein kinase, neurotrophic receptor	IPR020777
Ribosomal_L11_C	Ribosomal protein L11, C-terminal	IPR020783
Ribosomal_L11_N	Ribosomal protein L11, N-terminal	IPR020784
Ribosomal_L11_CS	Ribosomal protein L11, conserved site	IPR020785
MFS_dom	Major facilitator superfamily domain	IPR020846
Small_GTPase_Ras	Small GTPase superfamily, Ras type	IPR020849
GTPase_effector_domain_GED	GTPase effector domain, GED	IPR020850
ROC_GTPase	ROC GTPase	IPR020859
Cadherin_CS	Cadherin conserved site	IPR020894
Synapsin_pre-ATP-grasp_dom	Synapsin, pre-ATP-grasp domain	IPR020897
Synapsin_ATP-bd_dom	Synapsin, ATP-binding domain	IPR020898
Shal-type	Shal-type voltage-gated potassium channels	IPR021645
DUF3401	Protein of unknown function DUF3401	IPR021818
DUF3498	Protein of unknown function DUF3498	IPR021887
GIT1_C	G protein-coupled receptor kinase-interacting protein 1 C term	IPR022018
Frag_X_MRP_fam	Fragile X mental retardation protein family	IPR022034
ATP_Ca_trans_C	Calcium transporting P-type ATPase, C-terminal, plasma membrane	IPR022141
TNFR_16	Tumour necrosis factor receptor 16	IPR022325
PKD/Chitinase_dom	PKD/Chitinase domain	IPR022409
Prion/Doppel_prot_b-ribbon_dom	Prion/Doppel protein, beta-ribbon domain	IPR022416
Rbsml_prot_L2_RNA-bd_dom	Ribosomal Proteins L2, RNA binding domain	IPR022666
Ribosomal_L2_C	Ribosomal protein L2, C-terminal	IPR022669
Ribosomal_L2_CS	Ribosomal protein L2, conserved site	IPR022671
Lysophospholipase_put	Putative lysophospholipase	IPR022742
AIP3_C	Actin interacting protein 3, C-terminal	IPR022782
Dynamin_SF	Dynamin superfamily	IPR022812
Ribosomal_L30e_CS	Ribosomal protein L30e, conserved site	IPR022991
Ribosomal_S15P	Ribosomal protein S15P	IPR023029
PDEase	3'5'-cyclic nucleotide phosphodiesterase	IPR023088
RasGAP_CS	Ras GTPase-activating protein, conserved site	IPR023152
NADPH_Cyt_P450_Rdtase_dom3	NADPH-cytochrome p450 reductase, FAD-binding, alpha-helical domain-3	IPR023173
PDEase_CS	3'5'-cyclic nucleotide phosphodiesterase, conserved site	IPR023174
HAD-like_dom	HAD-like domain	IPR023214
Activity-reg_cytoskelet-assoc	Activity-regulated cytoskeleton-associated protein	IPR023263
ATPase_P-typ_TM_dom	P-type ATPase,  transmembrane domain	IPR023298
ATPase_P-typ_cyto_domN	P-type ATPase, cytoplasmic domain N	IPR023299
Sec7_alpha_orthog	Sec7 domain, alpha orthogonal bundle	IPR023394
Ribosomal_S27e_Zn-bd_dom	Ribosomal protein S27e, zinc-binding domain	IPR023407
LDLR_class-A_CS	Low-density lipoprotein (LDL) receptor class A, conserved site	IPR023415
Ras_GEF_dom	Ras guanine nucleotide exchange factor, domain	IPR023578
Metalthion_dom_vert	Metallothionein domain, vertebrate	IPR023587
Ribosomal_L2_arc	Ribosomal protein L2, archaeal-type	IPR023672
Regulat_G_prot_signal_dom1	Regulator of G-protein signaling, domain 1	IPR024066
MetalloPept_cat_dom	Metallopeptidase, catalytic domain	IPR024079
Small_GTPase_ARF	Small GTPase superfamily, ARF type	IPR024156
Dishevelled_C-dom	Dishevelled C-terminal	IPR024580
Tuberin_N	Tuberin, N-terminal	IPR024584
K_chnl_volt-dep_Kv4_C	Potassium channel, voltage dependent, Kv4, C-terminal	IPR024587
TORC_N	Transducer of regulated CREB activity, N-terminal	IPR024783
TORC_M	Transducer of regulated CREB activity, middle domain	IPR024784
TORC_C	Transducer of regulated CREB activity, C-terminal	IPR024785
TORC	Transducer of regulated CREB activity	IPR024786
Importing_su_alpha	Importin subunit alpha	IPR024931
DUF4211	Domain of unknown function DUF4211	IPR025451
Prion_N_dom	Major prion protein N-terminal domain	IPR025860
MAP1	Microtubule associated protein 1	IPR026074
DISC1	Disrupted in schizophrenia 1	IPR026081
GRIPAP1	GRIP1-associated protein 1	IPR026204
RGS7BP/RGS9BP	RGS7BP/RGS9BP family	IPR026512
Camk2n	Calcium/calmodulin-dependent protein kinase II inhibitor	IPR026779
cEGF	Complement Clr-like EGF domain	IPR026823
LRR_5	Leucine rich repeat 5	IPR026906
Shisa	Shisa family	IPR026910
Calsyntenin	Calsyntenin	IPR026914
Neurofascin/L1/NrCAM_C	Neurofascin/L1/NrCAM, C-terminal domain	IPR026966
Semaphorin	Semaphorin	IPR027231
Cation_transp_P-typ_ATPase_IB	Cation-transporting P-type ATPase, subfamily IB	IPR027256
AH/BAR-dom	Arfaptin homology (AH) domain/BAR domain	IPR027267
P2X_extracellular_dom	P2X purinoreceptor extracellular domain	IPR027309
Channel_four-helix_dom	Voltage-dependent channel, four helix bundle domain	IPR027359
Catenin_binding_dom	Catenin binding domain	IPR027397
P-loop_NTPase	P-loop containing nucleoside triphosphate hydrolase	IPR027417
30s_Rbsml_prot_S13_C	30s ribosomal protein S13, C-terminal	IPR027437
Cation_efflux_TMD	Cation efflux protein transmembrane domain	IPR027469
EIF3A	Eukaryotic translation initiation factor 3 subunit A	IPR027512
BAIAP2	Brain-specific angiogenesis inhibitor 1-associated protein 2	IPR027681
Eph_TM	Ephrin receptor, transmembrane domain	IPR027936
DUF4589	Protein of unknown function DUF4589	IPR027997
Peripla_BP_I	Periplasmic binding protein-like I	IPR028082
CAP_CS_C	CAP, conserved site, C-terminal	IPR028417
Plakophilin/d_Catenin	Plakophilin/Delta catenin	IPR028435
ABI3	ABI gene family member 3	IPR028455
ABI	ABI family	IPR028457
TRIO	Triple functional domain protein	IPR028570
AKAP9	A-kinase anchor protein 9	IPR028745
Recoverin	Recoverin family	IPR028846
USP_dom	Ubiquitin specific protease domain	IPR028889
ADF-H/Gelsolin-like_dom	ADF-H/Gelsolin-like domain	IPR029006
Prot-tyrosine_phosphatase-like	Protein-tyrosine phosphatase-like	IPR029021
Tensin_lipid_phosphatase_dom	Tensin phosphatase, lipid phosphatase domain	IPR029023
Flavoprotein-like	Flavoprotein-like	IPR029039
AB_hydrolase	Alpha/Beta hydrolase fold	IPR029058
L30e-like	50S ribosomal protein L30e-like	IPR029064
CDC48_domain_2-like	CDC48 domain 2-like	IPR029067
Ubiquitin-rel_dom	Ubiquitin-related domain	IPR029071
FAM196	FAM196 family	IPR029337
FAM81	Protein FAM81	IPR029619
Nucleotide_cyclase	Nucleotide cyclase	IPR029787
Sla2_fam	Sla2 family	IPR030224
G_DYNAMIN_dom	Dynamin-type guanine nucleotide-binding (G) domain	IPR030381
G_GB1_RHD3_dom	GB1/RHD3-type guanine nucleotide-binding (G) domain	IPR030386
